00:00:14, S0001, Песня 1, Группа 1
00:20:14, S0002, Песня 1, Группа 2
01:00:14, S0003, Песня 1, Группа 1
02:01:14, S0004, Песня 1, Группа 1
03:00:14, S0005, Песня 1, Группа 1
04:00:14, S0006, Песня 1, Группа 1
05:00:14, S0007, Песня 1, Группа 1
06:02:14, S0008, Песня 1, Группа 1
07:00:14, S0009, Песня 1, Группа 1
08:00:14, S0010, Песня 1, Группа 1
09:03:14, S0011, Песня 1, Группа 1
10:00:14, S0012, Песня 1, Группа 1
11:00:14, S0013, Песня 1, Группа 1
12:04:14, S0014, Песня 1, Группа 1
13:00:14, S0015, Песня 1, Группа 1
14:00:14, S0016, Песня 1, Группа 1
15:06:14, S0017, Песня 1, Группа 1
16:00:14, S0018, Песня 1, Группа 1
17:00:14, S0019, Песня 1, Группа 1
18:07:14, S0020, Песня 1, Группа 1
19:00:14, S0021, Песня 1, Группа 1
20:08:14, S0022, Песня 1, Группа 1
21:00:14, S0023, Песня 1, Группа 1
22:00:14, S0024, Песня 1, Группа 1
23:00:14, S0025, Песня 1, Группа 1
